Meeting Name,Meeting Key,Meeting Description,Grade,Semester,Agenda Item Key,Agenda Item Title,Dont Create With Roadmap,Agenda Item Counselor Instructions,Meeting Counselor Instructions,Task Key,Task Name,Task Description,Task Type,Task User Type,Form,Repeats,Content
Essay Brainstorming - Supplements,single_school_supplement-essay-brainstorming-supplements,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for your supplement essays that are thoughtful, engaging, and even fun to write.",,,single_school_supplement-essay-brainstorm,Essay brainstorm,,Brainstorm and outline supplements for one school,,single-school-supplement Watch Essay Brainstorming,Watch Essay Brainstorming,,pre,student,,,Essay Brainstorming. Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
Essay Brainstorming - Supplements,single_school_supplement-essay-brainstorming-supplements,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for your supplement essays that are thoughtful, engaging, and even fun to write.",,,single_school_supplement-essay-brainstorm,Essay brainstorm,,Brainstorm and outline supplements for one school,,single-school-supplement Block off the remainder of the brainstorming day for writing,Block off the remainder of the brainstorming day for writing,,pre,student,,,Essay Brainstorming. Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
Essay Brainstorming - Supplements,single_school_supplement-essay-brainstorming-supplements,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for your supplement essays that are thoughtful, engaging, and even fun to write.",,,single_school_supplement-essay-brainstorm,Essay brainstorm,,Brainstorm and outline supplements for one school,,single-school-supplement Watch Supplement Essay: Overview,Watch Supplement Essay: Overview,,pre,student,,,Essay Brainstorming. Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
Essay Brainstorming - Supplements,single_school_supplement-essay-brainstorming-supplements,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for your supplement essays that are thoughtful, engaging, and even fun to write.",,,single_school_supplement-essay-brainstorm,Essay brainstorm,,Brainstorm and outline supplements for one school,,single-school-supplement Watch Supplement Essay: Why this Major?,Watch Supplement Essay: Why this Major?,,pre,student,,,Essay Brainstorming. Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
Essay Brainstorming - Supplements,single_school_supplement-essay-brainstorming-supplements,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for your supplement essays that are thoughtful, engaging, and even fun to write.",,,single_school_supplement-essay-brainstorm,Essay brainstorm,,Brainstorm and outline supplements for one school,,single-school-supplement Watch Supplement Essay: Why this School?,Watch Supplement Essay: Why this School?,,pre,student,,,Essay Brainstorming. Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
Essay Brainstorming - Supplements,single_school_supplement-essay-brainstorming-supplements,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for your supplement essays that are thoughtful, engaging, and even fun to write.",,,single_school_supplement-essay-brainstorm,Essay brainstorm,,Brainstorm and outline supplements for one school,,single-school-supplement Submit your first draft within 24 hours,Submit your first draft within 24 hours,,post,student,,,Essay Brainstorming. Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
